Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Abóbora,0411,QUILO,332,3.24,1075.68
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Abóbora,0410,QUILO,182,3.24,589.68
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,000000303,GRAMA,72,3,216
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,3431,GRAMA,400,3,1200
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,3422,GRAMA,100,3,300
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,3427,GRAMA,200,3,600
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,000000360,GRAMA,100,3,300
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,000310,GRAMA,230,3,690
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Alface,0410,MAÇO,933,2.5,2332.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Alface,0411,MAÇO,1580,2.5,3950
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Alface,0412,MAÇO,1165,2.5,2912.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,000000360,QUILO,30,25,750
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,3424,QUILO,30,25,750
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,3432,QUILO,40,25,1000
