Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000014,QUILO,12,32.29,387.5
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000029,QUILO,9.6,32.29,310
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000017,QUILO,24,32.29,775
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000022,QUILO,38.4,32.29,1240
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000016,QUILO,38.4,32.29,1240
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000031,QUILO,9.6,32.29,310
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000023,QUILO,14.4,32.29,465
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Achocolatado em pó,000000013,QUILO,13.2,29.36,387.5
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Alho com casca,000000013,QUILO,3,24.5,73.5
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,SIM,Alho com casca,000000014,QUILO,3,24.5,73.5
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,SIM,Alho com casca,000000007,QUILO,3,15.75,47.25
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Alho com casca,000000031,QUILO,4,24.5,98
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Alho com casca,000000022,QUILO,8,24.5,196
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Alho com casca,000000016,QUILO,8,24.5,196
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Arroz tipo 1,000000031,QUILO,180,3.48,627
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Arroz tipo 1,000000029,QUILO,150,3.48,522.5
 2017,AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,NÃO,NÃO,Arroz tipo 1,000000023,QUILO,240,3.48,836
