Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,288,QUILO,10,3.9,39
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,284,QUILO,10,5.9,59
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,39,QUILO,10,6.5,65
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,208,QUILO,32,3.9,124.8
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,048,QUILO,30,3,90
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,293,QUILO,30,3.85,115.5
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,315,QUILO,20,3.85,77
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,207,QUILO,20,5.9,118
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,332,QUILO,20,3.85,77
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,257,QUILO,29.45,4.8,141.36
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,265,QUILO,10,3.9,39
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,243,QUILO,25,3.9,97.5
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,179,QUILO,3,5.9,17.7
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abacate,344,QUILO,20,3.85,77
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,048,QUILO,30,3.5,105
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,257,QUILO,5,2.45,12.25
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,208,QUILO,20,2.3,46
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,284,QUILO,10,3.8,38
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,265,QUILO,5,2.3,11.5
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,243,QUILO,15,2.3,34.5
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,179,QUILO,10,3.8,38
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,288,QUILO,6.52,2.3,14.99
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Abóbora,207,QUILO,10,3.8,38
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado diet em pó,214,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,212,GRAMA,10,4.2,42
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,03439,GRAMA,31,75,2325
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,267,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,289,GRAMA,20,4.2,84
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,0282,GRAMA,16,75,1200
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,049,GRAMA,24,4.75,114
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,240,GRAMA,30,4.2,126
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,207,GRAMA,3,112,336
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,248,GRAMA,16,75,1200
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,236,GRAMA,2,112,224
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,211,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,39,GRAMA,36,4.75,171
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,270,GRAMA,20,4.2,84
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,288,GRAMA,15,4.2,63
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,187,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,201,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,192,GRAMA,2,186,372
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,0004,GRAMA,24,4.75,114
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,265,GRAMA,15,4.2,63
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,0292,GRAMA,15,75,1125
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,208,GRAMA,80,4.2,336
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,195,GRAMA,30,4.2,126
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,000000337,GRAMA,15,75,1125
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,257,GRAMA,2,112,224
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,215,GRAMA,2,186,372
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,262,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,285,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,237,GRAMA,2,112,224
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,246,GRAMA,2,186,372
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,290,GRAMA,2,186,372
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,243,QUILO,40,4.2,168
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,3437,GRAMA,17,75,1275
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,191,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,284,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,202,GRAMA,10,4.2,42
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,179,GRAMA,1,112,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Achocolatado em pó,180,GRAMA,3,42,126
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,180,GRAMA,8,14,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,290,QUILO,5,14,70
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,202,QUILO,4,14,56
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,003,QUILO,15,19.9,298.5
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,214,QUILO,1,24,24
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,240,QUILO,8,14,112
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,207,QUILO,4,24,96
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,284,QUILO,1,24,24
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,236,QUILO,2,24,48
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,265,QUILO,1,13.8,13.8
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,288,QUILO,1,13.8,13.8
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,048,QUILO,10,19.9,199
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,040,QUILO,20,19.9,398
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,208,QUILO,16,13.8,220.8
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,192,QUILO,10,14,140
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,257,QUILO,3,12.9,38.7
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,270,QUILO,2,14,28
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,267,QUILO,1.25,24,30
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,212,QUILO,4,14,56
 2017,AC,BRASILEIA,PREF MUN DE BRASILEIA,NÃO,NÃO,Alho com casca,246,QUILO,5,14,70
