Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,137,QUILO,15,5,75
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,SIM,Abacate,63,QUILO,10,3.5,35
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,112,QUILO,8,5,40
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,NÃO,NÃO,Abacate,1153,QUILO,30,6,180
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,NÃO,NÃO,Abacate,3798,QUILO,9,5.99,53.91
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,NÃO,NÃO,Abacate,001176,QUILO,30,6,180
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,109,QUILO,15,5,75
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,SIM,Abacate,15773,QUILO,9,4,36
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,126,QUILO,18,5,90
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,130,QUILO,8,5,40
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,NÃO,NÃO,Abacate,4035,QUILO,9,5.99,53.91
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,96,QUILO,20,3,60
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,15311,QUILO,9,4,36
 2017,AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,SIM,NÃO,Abacate,14324,QUILO,40,6,240
