Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Achocolatado em pó,000000014,GRAMA,800,4,3200
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Achocolatado em pó,0374203743,GRAMA,340,7.38,2509.2
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Achocolatado em pó,03808,GRAMA,408,7.38,3011.04
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Alho com casca,000000014,QUILO,1000,17,17000
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Alho com casca,0374203743,QUILO,30,12.06,361.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Alho com casca,03808,QUILO,60,12.06,723.6
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Arroz parbolizado,000000014,QUILO,500,3.5,1750
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Arroz tipo 1,0374203743,QUILO,1600,3.05,4880
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Arroz tipo 1,03808,QUILO,1620,3.05,4941
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Açúcar,000000014,QUILO,2000,3.25,6500
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Açúcar,0374203743,QUILO,1350,3.11,4198.5
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Açúcar,03808,QUILO,1620,3.11,5038.2
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Batata inglesa,0374203743,QUILO,160,3.25,520
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Batata inglesa,03677,QUILO,160,3.25,520
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Batata inglesa,03785,QUILO,170,3.25,552.5
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Batata inglesa,03855,QUILO,160,3.25,520
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Batata inglesa,03787,QUILO,160,3.25,520
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Biscoito doce,0374203743,GRAMA,1295,3.94,5102.3
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Biscoito doce,000000014,GRAMA,2000,4,8000
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Biscoito doce,03808,GRAMA,1295,3.94,5102.3
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Biscoito salgado,0374203743,GRAMA,1803,3.83,6905.49
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Biscoito salgado,000000014,GRAMA,2000,4,8000
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Biscoito salgado,03808,GRAMA,1803,3.83,6905.49
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina de 1ª, resfriada/congelada",03677,QUILO,500,17.45,8725
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina de 1ª, resfriada/congelada",03785,QUILO,550,17.45,9597.5
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina de 1ª, resfriada/congelada",03855,QUILO,500,17.45,8725
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina de 1ª, resfriada/congelada",03787,QUILO,500,17.45,8725
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina de 2ª, resfriada/congelada",0374203743,QUILO,500,17.45,8725
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina de 2ª, resfriada/congelada",0374203743,QUILO,500,14,7000
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina de 3ª, resfriada/congelada",00000016,QUILO,300,9,2700
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina, pré-preapada, diversos cortes",03785,QUILO,603,14,8442
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina, pré-preapada, diversos cortes",03855,QUILO,500,14,7000
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina, pré-preapada, diversos cortes",03787,QUILO,500,14,7000
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina, pré-preapada, diversos cortes",03677,QUILO,500,14,7000
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,"Carne bovina, pré-preapada, diversos cortes",00000016,QUILO,300,12,3600
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Carne seca/Charque/Jerked beef,0374203743,GRAMA,330,18.32,6045.6
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Carne seca/Charque/Jerked beef,03808,GRAMA,400,18.32,7328
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cebola,03785,QUILO,90,3.42,307.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cebola,0374203743,QUILO,90,3.42,307.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cebola,03787,QUILO,90,3.42,307.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cebola,03855,QUILO,90,3.42,307.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cebola,03677,QUILO,90,3.42,307.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cenoura,03785,QUILO,190,3.28,623.2
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cenoura,03677,QUILO,160,3.28,524.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cenoura,0374203743,QUILO,160,3.28,524.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cenoura,03855,QUILO,160,3.28,524.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cenoura,03787,QUILO,160,3.28,524.8
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cereais de flocos de milho,0374203743,QUILO,900,1.42,1278
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Cereais de flocos de milho,03808,GRAMA,900,1.42,1278
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Colorau,0374203743,GRAMA,16,5.26,84.16
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Colorau,03808,GRAMA,16,5.26,84.16
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Colorau,000000014,QUILO,50,3,150
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Extrato de tomate,0374203743,GRAMA,100,3.21,321
 2017,AC,FEIJO,PREF MUN DE FEIJO,NÃO,NÃO,Extrato de tomate,03808,GRAMA,168,3.21,539.28
