Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,246,UNIDADE,173,0.25,43.25
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,2396,UNIDADE,35,3,105
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,2395,UNIDADE,20,3,60
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,2030,UNIDADE,1211,0.25,302.75
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,2406,QUILO,10,3,30
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,245,UNIDADE,110,0.25,27.5
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,2031,UNIDADE,735,0.25,183.75
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,2032,UNIDADE,770,0.25,192.5
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,2402,QUILO,10,3,30
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacate,01,UNIDADE,105,0.25,26.25
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacaxi,2534,QUILO,20,2,40
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacaxi,2394,QUILO,40,2,80
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacaxi,2396,QUILO,30,2,60
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacaxi,2407,QUILO,20,2,40
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abacaxi,2402,QUILO,24,2,48
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abobrinha,2401,QUILO,35,2,70
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abobrinha,2403,QUILO,15,2,30
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abobrinha,2534,QUILO,15,2,30
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abobrinha,2410,QUILO,20,2,40
 2017,AC,JORDAO,PREF MUN DE JORDAO,SIM,NÃO,Abobrinha,2407,QUILO,15,2,30
 2017,AC,JORDAO,PREF MUN DE JORDAO,NÃO,NÃO,Achocolatado em pó,000000709,GRAMA,10,195,1950
 2017,AC,JORDAO,PREF MUN DE JORDAO,NÃO,NÃO,Achocolatado em pó,000000658,GRAMA,25,195,4875
