Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacate,15946,QUILO,10,2.8,28
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacate,15942,QUILO,20,2.8,56
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacate,15940,QUILO,20,2.8,56
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacate,15939,QUILO,50,2.8,140
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacaxi,15946,QUILO,10,2,20
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacaxi,15940,QUILO,20,2,40
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacaxi,15942,QUILO,20,2,40
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Abacaxi,15939,QUILO,50,2,100
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Achocolatado em pó,000000320,QUILO,10,5.4,54
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Achocolatado em pó,000000315,QUILO,100,5,500
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Achocolatado em pó,000000319,QUILO,30,5,150
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Achocolatado em pó,000000314,QUILO,40,5,200
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Alface,15953,QUILO,20,8.4,168
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Alface,15955,QUILO,10,8.4,84
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Alface,15957,QUILO,2,8.4,16.8
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,SIM,NÃO,Alface,15949,QUILO,25,8.4,210
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Alho com casca,000000316,QUILO,5,18.9,94.5
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Alho com casca,000000317,QUILO,2,18.9,37.8
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Alho com casca,000000318,QUILO,1,18.9,18.9
 2017,AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,NÃO,NÃO,Alho com casca,000000313,QUILO,2,18.9,37.8
