Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Abóbora,14525,QUILO,200,3,600
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,NÃO,Abóbora,10858,QUILO,160,3,480
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Abóbora,14089,QUILO,160,3,480
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Abóbora,15587,QUILO,100,3,300
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Abóbora,16000,QUILO,160,3,480
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Abóbora,09426,QUILO,204,3,612
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Abóbora,12503,QUILO,120,3,360
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Abóbora,10512,QUILO,160,3,480
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,NÃO,Abóbora,15107,QUILO,250,3,750
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,NÃO,NÃO,Achocolatado em pó,2163,GRAMA,200,4,800
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,NÃO,NÃO,Achocolatado em pó,2183,GRAMA,120,4,480
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,NÃO,NÃO,Achocolatado em pó,2173,GRAMA,192,4,768
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,NÃO,NÃO,Achocolatado em pó,2180,GRAMA,144,4,576
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,NÃO,NÃO,Achocolatado em pó,2228,GRAMA,255,4,1020
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,NÃO,NÃO,Achocolatado em pó,2174,GRAMA,120,4,480
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,NÃO,NÃO,Achocolatado em pó,2194,GRAMA,120,4,480
 2017,AC,PLACIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,SIM,SIM,Alface,14525,MAÇO,288,3,864
