Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Abóbora,0006,QUILO,80,3.15,252
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Abóbora,00001,QUILO,32,3.15,100.8
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Abóbora,15683,QUILO,42,3.15,132.3
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Achocolatado em pó,000003865,GRAMA,48,3.52,168.96
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Achocolatado em pó,000003778,GRAMA,78,3.52,274.56
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Alface,0006,MAÇO,235,3.4,799
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Alface,0006,MAÇO,31,3.4,105.4
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Alface,00001,MAÇO,136,3.4,462.4
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Alface,15683,MAÇO,235,3.4,799
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Alho com casca,000001152,QUILO,30,19.39,581.7
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,"Almôndega ao molho, em conserva",000001152,GRAMA,168,4.39,737.52
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Arroz tipo 1,000001152,QUILO,500,2.6,1300
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Arroz tipo 1,000000011,QUILO,840,4.35,3654
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Açúcar,000003865,QUILO,270,2.7,729
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Açúcar,000003778,QUILO,660,2.7,1782
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Banana,00001,QUILO,193,2.9,559.7
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Banana,00001,QUILO,449,2.6,1167.4
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Banana,0003,QUILO,490,2.6,1274
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Banana,0007,QUILO,575,2.6,1495
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,SIM,NÃO,Banana,0003,QUILO,129,2.9,374.1
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Batata inglesa,000003918,QUILO,109,2.29,249.61
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Batata inglesa,000000011,QUILO,190,4.9,931
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Batata inglesa,000003779,QUILO,118,2.29,270.22
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Beterraba,000000940,QUILO,116,2.2,255.2
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Beterraba,000000953,QUILO,116,2.2,255.2
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Beterraba,000000965,QUILO,67,2.2,147.4
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito doce,000003778,GRAMA,384,3.25,1248
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito doce,000003778,GRAMA,480,3.38,1622.4
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito doce,000003865,GRAMA,216,3.38,730.08
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito doce,000000011,GRAMA,480,4.45,2136
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito doce,000000941,GRAMA,384,3.5,1344
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito doce,000003865,GRAMA,264,3.7,976.8
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito doce,000003865,GRAMA,264,3.25,858
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,"Biscoito doce, integral",000000011,QUILO,480,4.19,2011.2
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,"Biscoito doce, integral",000003778,GRAMA,576,3.7,2131.2
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito salgado,000003778,GRAMA,384,3.25,1248
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,Biscoito salgado,000003865,GRAMA,216,3.25,702
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,"Café em pó, torrado",000003778,GRAMA,54,4,216
 2017,AC,PORTO ACRE,PREF MUN DE PORTO ACRE,NÃO,NÃO,"Café em pó, torrado",000003865,GRAMA,31,4,124
