Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Abacate,22,UNIDADE,50,6.5,325
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Abacate,12,QUILO,200,6.5,1300
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Abacate,25,QUILO,30,6.5,195
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Abóbora,14,QUILO,202,4,808
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Abóbora,5,QUILO,79,4,316
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Abóbora,25,QUILO,10,4,40
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,326,GRAMA,100,6.5,650
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,321,QUILO,150,6.5,975
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,028,GRAMA,800,6.5,5200
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,040,GRAMA,150,6.5,975
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,039,GRAMA,500,6.5,3250
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,44,GRAMA,150,6.5,975
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,322,GRAMA,500,6.5,3250
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Achocolatado em pó,42,GRAMA,100,6.5,650
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Alface,22,MAÇO,150,2.39,358.5
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Alface,002,MAÇO,200,3.39,678
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Alface,31,MAÇO,200,2.39,478
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Alho com casca,15,QUILO,20,34.5,690
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Alho com casca,32,QUILO,20,34.5,690
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Alho com casca,23,QUILO,20,34.5,690
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Amido de milho,028,GRAMA,400,7.75,3100
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Arroz tipo 1,31,QUILO,85,4.4,374
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Arroz tipo 1,002,QUILO,268,3.98,1066.64
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,SIM,NÃO,Arroz tipo 1,5,QUILO,300,3.98,1194
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Arroz tipo 1,24,QUILO,100,4.4,440
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Arroz tipo 1,15,QUILO,200,4.4,880
 2017,AC,PORTO WALTER,PREF MUN DE PORTO WALTER,NÃO,NÃO,Arroz tipo 1,22,QUILO,85,4.4,374
