Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abacate,15356,QUILO,547,4.5,2461.5
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,44,QUILO,2368,3.4,8051.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,51,QUILO,81,3.4,275.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,028,QUILO,241,3.4,819.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,38,QUILO,200,3.4,680
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,54,QUILO,56,3.4,190.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,39,QUILO,356,3.4,1210.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,009,QUILO,253,3.4,860.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,35,QUILO,278,3.4,945.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,47,QUILO,27,3.4,91.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,50,QUILO,30,3.4,102
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,25,QUILO,414,3.4,1407.6
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,015,QUILO,60,3.4,204
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,42,QUILO,946,3.4,3216.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,016,QUILO,547,3.4,1859.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abacaxi,008,QUILO,90,3.4,306
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abacaxi,15356,QUILO,547,4,2188
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abacaxi,97788,QUILO,825,4,3300
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,39,QUILO,410,1.8,738
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,45,QUILO,26,1.8,46.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,36,QUILO,75,1.8,135
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,009,QUILO,411,1.8,739.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,001,QUILO,109,1.8,196.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,028,QUILO,127,1.8,228.6
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,014,QUILO,121,1.8,217.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,42,QUILO,548,1.8,986.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,017,QUILO,302,1.8,543.6
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,38,QUILO,119,1.8,214.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,008,QUILO,67,1.8,120.6
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,026,QUILO,411,1.8,739.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,016,QUILO,289,1.8,520.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,005,QUILO,338,1.8,608.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,018,QUILO,186,1.8,334.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,48,QUILO,21,1.8,37.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,19,QUILO,183,1.8,329.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,25,QUILO,359,1.8,646.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,54,QUILO,10,1.8,18
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,004,QUILO,898,1.8,1616.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,51,QUILO,199,1.8,358.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,015,QUILO,13,1.8,23.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Abóbora,50,QUILO,127,1.8,228.6
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abóbora,1993,QUILO,307,5.05,1550.35
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abóbora,2050,QUILO,1100,5.05,5555
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abóbora,155,QUILO,1500,3.45,5175
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abóbora,15423,QUILO,889,3.4,3022.6
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abóbora,2034,QUILO,351,5.05,1772.55
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,SIM,NÃO,Abóbora,1977,QUILO,242,5.05,1222.1
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,NÃO,NÃO,Acelga,1315,QUILO,7000,1.8,12600
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,NÃO,NÃO,Acelga,3660,QUILO,1987,3,5961
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,NÃO,NÃO,Acelga,3877,QUILO,1850,6.15,11377.5
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,NÃO,NÃO,Acelga,3661,QUILO,3000,5,15000
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,349,GRAMA,350,2.3,805
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,348,GRAMA,1500,2.3,3450
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,467,GRAMA,100,2.3,230
 2017,AC,RIO BRANCO,SECRETARIA DE EDUCACAO DO ESTADO DO ACRE,NÃO,NÃO,Achocolatado em pó,323,GRAMA,10000,4.49,44900
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,426,GRAMA,50,2.3,115
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,381,GRAMA,900,2.3,2070
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,345,GRAMA,600,2.3,1380
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,344,GRAMA,300,2.3,690
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,347,GRAMA,300,2.3,690
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,346,GRAMA,150,2.3,345
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Achocolatado em pó,430,GRAMA,400,2.3,920
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,NÃO,NÃO,Adoçante,4867,LITRO,3,6.79,20.37
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,39,MAÇO,340,2.6,884
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,44,MAÇO,93,2.6,241.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,45,MAÇO,698,2.6,1814.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,021,MAÇO,830,2.6,2158
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,35,MAÇO,45,2.6,117
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,50,MAÇO,44,2.6,114.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,009,MAÇO,138,2.6,358.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,015,MAÇO,33,2.6,85.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,51,MAÇO,219,2.6,569.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,52,MAÇO,393,2.6,1021.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,004,MAÇO,2224,2.6,5782.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,014,MAÇO,190,2.6,494
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,37,MAÇO,184,2.6,478.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,54,MAÇO,84,2.6,218.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,040,MAÇO,67,2.6,174.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,29,MAÇO,71,2.6,184.6
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,018,MAÇO,1268,2.6,3296.8
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,43,MAÇO,877,2.6,2280.2
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,005,MAÇO,2034,2.6,5288.4
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,017,MAÇO,776,2.6,2017.6
 2017,AC,RIO BRANCO,PREF MUN DE RIO BRANCO,SIM,NÃO,Alface,47,MAÇO,37,2.6,96.2
