Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Abóbora,0103,QUILO,30,5,150
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,SIM,NÃO,Abóbora,13415,QUILO,80,5,400
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Abóbora,064,QUILO,100,5,500
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Abóbora,0111,QUILO,100,5,500
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,SIM,NÃO,Abóbora,14316,QUILO,80,5,400
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Abóbora,0107,QUILO,100,5,500
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Abóbora,066,QUILO,60,5,300
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,SIM,NÃO,Abóbora,15223,QUILO,120,5,600
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,SIM,NÃO,Abóbora,14868,QUILO,120,5,600
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000014,QUILO,120,7.48,897
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000004,QUILO,40,14.95,598
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000022,QUILO,60,14.95,897
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000007,QUILO,40,14.95,598
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000001,QUILO,100,7.48,747.5
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000031,QUILO,20,14.95,299
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000025,QUILO,40,14.95,598
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000027,QUILO,40,14.95,598
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,091,QUILO,140,7.48,1046.5
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Achocolatado em pó,000000023,QUILO,40,14.95,598
 2017,AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,NÃO,NÃO,Adoçante,076,MILILITRO,2000,0.03,62
