Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,SIM,SIM,Abacate,6884,QUILO,50,2,100
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,SIM,SIM,Abacate,6606,QUILO,200,2,400
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,SIM,SIM,Abacaxi,6606,QUILO,260,2,520
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Achocolatado em pó,01364,GRAMA,528,6,3168
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Achocolatado em pó,01385,GRAMA,400,6,2400
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Achocolatado em pó,01371,GRAMA,312,6,1872
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Achocolatado em pó,01376,GRAMA,312,6,1872
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Achocolatado em pó,01363,GRAMA,90,6,540
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Alho com casca,01371,QUILO,10,30,300
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Alho com casca,01363,QUILO,2,30,60
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Alho com casca,01376,QUILO,20,30,600
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Alho com casca,01364,QUILO,20,30,600
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,"Almôndega ao molho, em conserva",01370,GRAMA,120,6.5,780
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Amido de milho,01376,GRAMA,72,5,360
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Arroz tipo 1,01364,QUILO,1890,5,9450
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Arroz tipo 1,01363,QUILO,131,5,655
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Arroz tipo 1,01376,QUILO,450,5,2250
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Arroz tipo 1,01385,QUILO,900,5,4500
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Arroz tipo 1,01371,QUILO,450,5,2250
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Aveia em flocos,01365,GRAMA,48,16,768
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Açúcar,01363,QUILO,104,4.7,488.8
 2017,AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,NÃO,NÃO,Açúcar,01385,QUILO,600,4.7,2820
