Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,SIM,NÃO,Abóbora,10396,QUILO,47,3.5,164.5
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,SIM,NÃO,Abóbora,13866,QUILO,47,3.5,164.5
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,SIM,NÃO,Abóbora,14390,QUILO,47,3.5,164.5
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,SIM,NÃO,Abóbora,09993,QUILO,47,3.5,164.5
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,SIM,NÃO,Abóbora,09991,QUILO,47,3.5,164.5
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,SIM,NÃO,Abóbora,08997,QUILO,47,3.5,164.5
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,SIM,NÃO,Abóbora,15357,QUILO,60,3.5,210
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,NÃO,NÃO,Achocolatado em pó,1382,GRAMA,280,4.23,1184.4
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,NÃO,NÃO,Achocolatado em pó,1367,GRAMA,530,4.23,2241.9
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,NÃO,NÃO,Achocolatado em pó,1309,GRAMA,354,4.23,1497.42
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,NÃO,NÃO,Achocolatado em pó,1258,GRAMA,70,4.23,296.1
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,NÃO,NÃO,Achocolatado em pó,1308,GRAMA,70,4.23,296.1
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,NÃO,NÃO,Achocolatado em pó,1345,GRAMA,542,4.23,2292.66
 2017,AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,NÃO,NÃO,Achocolatado em pó,1307,GRAMA,118,4.23,499.14
