Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado diet em pó,3758,GRAMA,100,7.38,738
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3686,GRAMA,300,7.38,2214
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3683,GRAMA,200,7.38,1476
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3663,GRAMA,160,7.38,1180.8
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3670,GRAMA,300,7.38,2214
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3679,GRAMA,340,7.38,2509.2
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3863,GRAMA,50,7.38,369
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3678,GRAMA,80,7.38,590.4
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Achocolatado em pó,3661,GRAMA,100,7.38,738
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3686,QUILO,60,12.06,723.6
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3678,QUILO,30,12.06,361.8
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3661,QUILO,60,12.06,723.6
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3863,QUILO,45,12.06,542.7
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3683,QUILO,40,12.06,482.4
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3758,QUILO,20,12.06,241.2
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3663,QUILO,40,12.06,482.4
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3670,QUILO,40,12.06,482.4
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Alho com casca,3679,QUILO,40,12.06,482.4
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3663,QUILO,200,3.05,610
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3679,QUILO,900,3.05,2745
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3686,QUILO,400,3.05,1220
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3678,QUILO,340,3.05,1037
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3683,QUILO,400,3.05,1220
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3758,QUILO,300,3.05,915
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3863,QUILO,290,3.05,884.5
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3670,QUILO,460,3.05,1403
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Arroz tipo 1,3661,QUILO,360,3.05,1098
 2017,AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,NÃO,NÃO,Açúcar,3758,QUILO,200,3.11,622
