Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Abacaxi,97787,QUILO,1000,3.5,3500
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Abóbora,097770,QUILO,184,2.8,515.2
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Abóbora,097775,QUILO,248,2.8,694.4
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Achocolatado em pó,220,QUILO,480,10.5,5041.6
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Achocolatado em pó,189,QUILO,400,12.6,5041.6
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Achocolatado em pó,270,QUILO,516,10.5,5419.72
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Achocolatado em pó,364,QUILO,456,10.5,4789.52
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Alho com casca,241,QUILO,84,25.18,2115.12
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Alho com casca,270,QUILO,25,25.18,629.5
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Alho com casca,220,QUILO,100,25.18,2518
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Alho com casca,189,QUILO,80,25.18,2014.4
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Alho com casca,364,QUILO,30,25.18,755.4
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,"Almôndega ao molho, em conserva",270,QUILO,564.48,14.06,7938.56
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,"Almôndega ao molho, em conserva",220,QUILO,302.4,14.06,4252.8
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,"Almôndega ao molho, em conserva",241,QUILO,302.4,14.06,4252.8
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Arroz integral,97782,QUILO,3040,3.9,11856
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Arroz integral,97787,QUILO,2800,3.9,10920
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Arroz integral,097770,QUILO,1550,3.9,6045
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Arroz integral,097760,QUILO,1400,3.9,5460
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Arroz integral,097775,QUILO,3205,3.9,12499.5
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,"Açaí, polpa, com xarope de guaraná e glucose",097770,QUILO,800,7.5,6000
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,"Açaí, polpa, com xarope de guaraná e glucose",097760,QUILO,1000,7.5,7500
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Açúcar,270,QUILO,1620,3.78,6119.82
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Açúcar,220,QUILO,1920,3.78,7253.12
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Açúcar,189,QUILO,1200,3.78,4533.2
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Açúcar,241,QUILO,2100,3.78,7933.1
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,Açúcar,364,QUILO,1140,3.78,4306.54
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Banana,097775,QUILO,665,3,1995
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Banana,097760,QUILO,1200,2.5,3000
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Banana,097770,QUILO,1800,3,5400
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,SIM,NÃO,Beterraba,097760,QUILO,150,5,750
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,"Café em pó, torrado",270,QUILO,900,2.94,2644.2
 2017,AC,TARAUACA,PREF MUN DE TARAUACA,NÃO,NÃO,"Café em pó, torrado",364,QUILO,140,17.63,2467.92
