Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Achocolatado em pó,371,GRAMA,20,4.89,97.8
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Achocolatado em pó,283,GRAMA,160,4.89,782.4
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Achocolatado em pó,272,GRAMA,19,4.89,92.91
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Achocolatado em pó,273,GRAMA,19,4.89,92.91
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Achocolatado em pó,5435,QUILO,31,4.9,151.9
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Achocolatado em pó,254,GRAMA,50,4.89,244.5
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Alho com casca,371,QUILO,10,24.25,242.5
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Alho com casca,272,QUILO,35,24.25,848.75
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Alho com casca,273,QUILO,35,24.25,848.75
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Alho com casca,283,QUILO,26,24.25,630.5
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Alho com casca,254,QUILO,40,24.25,970
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Alho com casca,5435,QUILO,6.4,21.9,140.16
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Arroz tipo 1,371,QUILO,190,3.62,687.8
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Arroz tipo 1,272,QUILO,250,3.62,905
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Arroz tipo 1,5435,QUILO,277,5.5,1523.5
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Arroz tipo 1,283,QUILO,220,3.62,796.4
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Arroz tipo 1,254,QUILO,433,3.62,1567.46
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Arroz tipo 1,273,QUILO,250,3.62,905
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Açúcar,272,QUILO,128,2.93,375.04
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Açúcar,371,QUILO,130,2.93,380.9
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Açúcar,273,QUILO,129,2.93,377.97
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Açúcar,5435,QUILO,204,3.1,632.4
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Açúcar,283,QUILO,240,2.93,703.2
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Açúcar,254,QUILO,166,2.93,486.38
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Batata inglesa,273,QUILO,24,4.58,109.92
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Batata inglesa,5435,QUILO,50,2.5,125
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Batata inglesa,283,QUILO,77,4.58,352.66
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Batata inglesa,272,QUILO,24,4.58,109.92
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Batata inglesa,254,QUILO,47,4.58,215.26
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Batata inglesa,371,QUILO,50,4.58,229
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito caseiro,5435,GRAMA,51,7.5,382.5
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito doce,254,GRAMA,145,4.73,685.85
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito doce,272,GRAMA,128,4.73,605.44
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito doce,5435,GRAMA,75,5.7,427.5
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito doce,283,GRAMA,240,4.73,1135.2
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito doce,371,GRAMA,100,4.73,473
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito doce,273,GRAMA,129,4.73,610.17
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito salgado,254,GRAMA,172,4.12,708.64
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito salgado,5435,GRAMA,189,5.7,1077.3
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito salgado,371,GRAMA,90,4.12,370.8
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito salgado,283,GRAMA,310,4.12,1277.2
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito salgado,273,GRAMA,172,4.12,708.64
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,Biscoito salgado,272,GRAMA,171,4.12,704.52
 2017,AC,XAPURI,PREF MUN DE XAPURI,NÃO,NÃO,"Café em pó, torrado",272,GRAMA,50,5.57,278.5
