Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Biscoito doce,026088,QUILO,104,13,1352
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Biscoito salgado,005612,QUILO,15,6.3,94.5
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Carne bovina de 2ª, resfriada/congelada",005612,QUILO,25,12.73,318.25
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Cebola,005612,QUILO,5,2.9,14.5
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Doce de fruta, diversos sabores, em barra",026088,QUILO,462,11.55,5335
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Ervilha, em conserva",005612,QUILO,9,5.63,50.7
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Farinha de milho pré-cozida, flocos, diversos tamanhos (Cuscuz)",026088,QUILO,30,4.8,144
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Farinha de trigo,026088,QUILO,310,4.2,1302
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Feijão carioca,026088,QUILO,1500,8.97,13450
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Fermento químico, em pó",026088,QUILO,0.5,420,210
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Frango, coxa e sobrecoxa, resfriado/congelado",005612,QUILO,28,5.7,159.6
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Frango, peito, diversos cortes, resfriado/congelado",005612,QUILO,30,7.7,231
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Linguiça calabresa,005612,QUILO,20,6.1,122
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Ovo de galinha,026088,DUZIA,470,7.4,3478
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,"Pão, diversos tipos, farinha de trigo branca",005612,QUILO,350,6.2,2170
 2017,AC,BUJARI,PREF MUN DE BUJARI,NÃO,NÃO,Sal refinado/iodado,026088,QUILO,60,1.43,86
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Abóbora,0411,QUILO,332,3.24,1075.68
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Abóbora,0410,QUILO,182,3.24,589.68
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,000000303,GRAMA,72,3,216
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,3431,GRAMA,400,3,1200
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,3422,GRAMA,100,3,300
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,3427,GRAMA,200,3,600
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,000000360,GRAMA,100,3,300
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Achocolatado em pó,000310,GRAMA,230,3,690
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Alface,0410,MAÇO,933,2.5,2332.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Alface,0411,MAÇO,1580,2.5,3950
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Alface,0412,MAÇO,1165,2.5,2912.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,000000360,QUILO,30,25,750
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,3424,QUILO,30,25,750
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,3432,QUILO,40,25,1000
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,000000303,QUILO,40,25,1000
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Alho com casca,3449,QUILO,40,25,1000
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Almôndega ao molho, em conserva",000000360,GRAMA,35,4,140
